code, occupation
151111,  COMPUTER AND INFORMATION RESEARCH SCIENTISTS
151121,  COMPUTER SYSTEMS ANALYSTS
151122,  INFORMATION SECURITY ANALYSTS
151131,  COMPUTER PROGRAMMERS
151134,  WEB DEVELOPERS
15113X,  SOFTWARE DEVELOPERS APPLICATIONS AND SYSTEMS SOFTWARE
151141,  DATABASE ADMINISTRATORS
151142,  NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS
151143,  COMPUTER NETWORK ARCHITECTS
151150,  COMPUTER SUPPORT SPECIALISTS
151199,  COMPUTER OCCUPATIONS ALL OTHER
172061,  COMPUTER HARDWARE ENGINEERS
172070,  ELECTRICAL AND ELECTRONICS ENGINEERS 
