code, occupation
151111,  CMM-COMPUTER AND INFORMATION RESEARCH SCIENTISTS
151121,  CMM-COMPUTER SYSTEMS ANALYSTS
151122,  CMM-INFORMATION SECURITY ANALYSTS
151131,  CMM-COMPUTER PROGRAMMERS
151134,  CMM-WEB DEVELOPERS
15113X,  CMM-SOFTWARE DEVELOPERS APPLICATIONS AND SYSTEMS SOFTWARE
151141,  CMM-DATABASE ADMINISTRATORS
151142,  CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS
151143,  CMM-COMPUTER NETWORK ARCHITECTS
151150,  CMM-COMPUTER SUPPORT SPECIALISTS
151199,  CMM-COMPUTER OCCUPATIONS ALL OTHER
172061,  ENG-COMPUTER HARDWARE ENGINEERS
172070,  ENG-ELECTRICAL AND ELECTRONICS ENGINEERS
