PWGTP,HISP,CIT,POWSP,RAC1P,SEX
222,1,4,2,1,1
126,1,4,2,1,2
48,1,1,1,2,1
81,1,1,1,2,1
226,1,1,5,1,1
72,1,1,6,1,2
79,1,1,4,3,2
766,1,1,6,1,1
103,24,1,6,9,1
112,1,1,6,1,1
125,1,1,6,1,1
95,2,1,6,9,2
214,1,5,6,9,1
44,1,1,6,1,2
69,1,1,4,1,1
55,1,1,4,1,1
40,1,1,6,2,2
62,1,3,6,1,1
93,1,1,6,1,1
130,1,1,6,1,2
21,1,1,6,1,1
57,1,1,6,2,2
37,1,1,4,1,1
175,1,1,1,1,2
153,1,1,1,1,1
201,1,1,1,1,1
76,1,1,6,1,2
165,1,1,6,1,2
64,2,5,6,1,2
81,2,5,6,1,1
80,2,1,6,1,1
63,2,1,6,1,1
129,1,1,6,1,2
142,1,1,6,1,1
99,1,1,6,1,1
120,1,1,6,1,2
96,2,1,6,1,2
117,1,1,6,2,1
179,1,1,5,1,2
169,1,1,1,2,2
174,2,1,4,1,1
206,2,5,4,1,1
91,1,4,6,6,1
61,1,1,6,2,1
85,1,1,6,1,1
84,1,1,6,1,2
92,1,1,6,1,2
148,1,1,4,1,1
52,1,1,6,1,1
113,1,1,6,1,2
66,1,1,6,1,1
58,1,1,6,1,2
112,1,4,6,1,2
155,1,1,5,2,2
187,1,1,5,2,1
90,1,1,6,1,1
102,1,1,6,1,2
80,1,4,6,6,1
88,1,5,6,6,1
82,1,5,6,6,1
69,2,5,6,1,1
70,2,5,6,1,1
92,2,5,6,1,1
75,7,5,6,1,1
122,7,5,6,1,1
112,2,1,6,8,1
66,2,1,6,1,2
41,11,5,6,1,1
39,11,5,6,1,2
46,11,5,6,1,1
80,1,1,5,1,2
278,1,1,1,1,1
69,1,4,6,1,2
82,1,1,6,1,1
34,1,1,1,1,1
32,1,3,1,2,2
97,1,1,6,1,1
101,1,1,6,1,2
119,1,1,6,1,1
64,1,1,6,1,1
118,2,5,6,1,2
119,2,5,6,1,1
154,2,5,6,1,1
126,2,1,6,1,1
128,2,4,6,1,2
78,1,1,4,1,2
62,1,1,4,1,1
27,1,1,1,2,1
39,1,1,1,2,2
112,1,1,1,9,2
81,1,1,1,1,1
13,1,1,2,1,2
225,2,3,4,6,2
194,2,1,4,6,1
130,2,1,4,6,2
61,1,4,6,9,1
62,1,4,6,9,2
52,1,1,4,1,2
65,1,4,6,6,1
68,1,4,6,6,2
122,1,1,6,6,1
75,1,1,6,1,2
247,1,1,6,1,1
230,1,4,6,1,2
89,1,1,6,1,1
47,1,1,6,1,1
46,1,1,6,1,2
57,1,1,6,1,1
58,1,1,6,1,2
55,2,5,6,8,2
67,2,1,6,6,1
80,1,1,6,1,1
118,2,1,6,1,2
193,2,4,6,1,1
158,2,4,6,1,2
177,2,1,6,1,2
194,2,5,6,1,2
180,1,1,4,1,1
249,1,4,6,1,2
60,1,1,6,1,1
65,2,1,6,2,2
94,1,1,6,9,2
59,1,1,1,1,2
39,1,1,1,1,1
2,1,1,6,6,1
227,1,1,4,1,1
42,1,4,4,6,2
52,1,1,6,1,2
50,1,1,6,9,1
61,1,4,6,6,1
112,1,4,6,6,1
69,1,1,6,1,1
65,1,1,6,1,2
112,1,4,6,6,1
93,1,4,6,6,2
98,1,1,6,6,2
167,2,4,6,8,1
169,2,5,6,8,2
206,2,1,6,8,1
195,2,1,6,8,2
155,1,1,4,1,1
94,1,1,6,1,1
104,1,1,6,1,1
227,1,1,5,1,1
43,1,1,4,1,2
58,1,1,6,1,2
72,1,1,6,1,1
233,1,5,6,6,1
176,1,3,6,6,2
73,1,1,6,1,2
73,1,1,6,1,1
164,1,1,6,1,1
95,1,1,6,1,1
64,1,1,4,1,1
70,1,1,4,1,2
12,1,1,6,9,2
57,1,4,6,1,2
65,1,4,6,1,1
135,1,1,6,1,2
68,2,5,6,9,2
88,2,5,6,9,1
107,1,1,6,1,1
80,1,1,6,1,1
57,2,1,6,1,2
94,2,1,6,1,2
100,2,1,6,1,1
112,1,1,5,1,1
106,1,1,6,1,2
62,1,1,6,6,2
59,1,1,6,6,1
58,1,1,6,1,1
72,1,1,5,1,1
33,1,4,6,1,2
67,1,1,6,1,1
65,1,1,6,1,2
73,1,1,6,1,1
144,19,4,6,1,2
223,19,5,6,1,2
195,1,1,6,1,2
