PWGTP,RAC1P,POWSP,HISP,SEX,CIT,WAOB,COW,SOCP
65,1,12,1,1,5,5,2,151142
22,1,33,1,1,4,5,6,151143
58,6,17,1,1,4,4,1,151150
120,1,46,1,1,1,1,1,151131
67,1,6,1,1,5,5,1,151131
119,1,53,1,1,1,1,1,15113X
51,1,42,1,1,1,1,1,151143
261,1,55,1,1,1,1,4,151150
85,1,17,1,1,1,1,1,172061
64,1,16,1,1,4,5,7,15113X
122,1,51,1,1,1,1,1,151143
127,1,12,1,2,1,1,1,151199
33,6,51,1,1,4,4,1,15113X
36,1,31,1,2,1,1,3,151131
166,1,49,1,1,1,1,7,172070
93,1,4,1,1,3,5,2,151199
100,1,36,1,2,1,1,1,151121
99,1,18,1,1,1,1,1,151131
82,1,4,1,1,1,1,1,151134
138,6,6,1,1,5,4,1,151121
620,1,38,1,2,1,1,1,151121
155,1,42,1,1,1,1,1,151199
167,1,21,4,1,1,1,1,15113X
121,1,32,1,1,1,1,5,151141
109,1,6,1,1,5,5,1,172070
130,3,40,1,2,1,1,6,151199
51,2,37,1,1,1,1,1,151150
44,1,21,1,1,1,1,1,15113X
86,6,6,1,1,5,4,1,15113X
92,1,36,1,1,1,1,1,151142
57,1,42,1,1,1,1,1,15113X
110,1,53,1,1,1,1,1,15113X
171,1,42,1,1,1,1,5,151199
137,6,17,1,1,4,4,1,151121
62,1,36,1,1,1,1,1,151131
147,1,36,1,2,1,1,3,151199
119,1,31,1,1,1,1,1,151121
62,1,37,1,1,1,1,1,151143
84,1,24,1,1,1,1,1,151142
71,6,17,1,1,4,4,1,15113X
308,1,12,1,1,1,1,1,151199
114,1,36,1,1,1,1,1,15113X
113,1,36,1,1,1,1,1,15113X
106,1,25,1,1,1,1,1,151199
153,1,2,1,1,1,1,1,15113X
53,1,37,1,2,1,1,1,15113X
52,9,15,1,1,1,1,5,151142
115,1,40,1,1,1,1,1,151150
62,1,13,3,2,3,5,1,151121
29,1,24,1,1,1,1,1,15113X
68,1,13,1,1,1,1,1,151121
102,1,53,1,2,1,1,1,151199
127,6,6,1,1,4,4,1,15113X
139,1,51,1,1,1,1,1,151199
95,1,24,1,1,1,1,5,151131
127,1,29,1,1,1,1,1,15113X
164,6,47,1,1,4,4,1,151121
126,6,34,1,2,1,1,1,15113X
66,1,6,1,1,1,1,5,151121
59,1,26,1,2,1,1,2,151141
70,1,37,1,1,1,1,1,15113X
78,1,26,1,1,1,1,1,151143
118,2,11,1,2,1,1,2,151141
104,1,51,1,1,1,1,3,151199
111,1,51,1,1,1,1,2,151131
36,1,24,1,1,1,1,7,151143
64,1,8,1,1,1,1,1,15113X
48,1,33,1,2,1,1,1,151150
74,1,48,1,1,1,1,1,172070
87,1,20,1,2,1,1,1,15113X
64,1,6,1,1,1,1,1,151150
126,1,5,1,1,1,1,1,151199
131,1,36,1,1,1,1,1,151150
57,1,5,1,2,1,1,1,151199
44,1,13,1,1,1,1,5,151150
61,1,49,1,1,1,1,1,151134
407,6,5,1,1,5,4,1,15113X
75,6,53,1,1,4,4,1,172070
331,1,27,1,2,4,5,1,15113X
24,1,39,1,1,1,1,1,151142
86,1,42,1,1,1,1,1,151121
138,1,55,1,1,1,1,1,151121
23,1,41,1,1,1,1,1,15113X
114,6,6,1,2,4,4,7,15113X
116,6,6,1,1,5,4,7,15113X
48,2,4,1,1,1,1,1,151142
68,1,36,1,1,1,1,1,151150
66,5,51,8,1,1,1,5,151143
95,1,6,1,1,1,1,2,151199
98,6,6,1,1,1,1,1,15113X
23,1,50,1,1,1,1,1,151131
274,1,27,1,1,1,1,1,151121
43,1,36,1,1,1,1,1,15113X
63,1,47,1,1,1,1,2,151199
18,1,21,1,1,1,1,1,151150
88,1,12,1,1,1,1,1,15113X
93,1,42,1,1,1,1,1,151142
148,1,42,3,2,1,1,1,151121
115,1,45,1,2,1,1,1,151150
65,1,6,1,1,1,1,1,15113X
112,1,32,1,2,1,1,1,151121
119,1,6,2,2,1,1,1,151121
79,1,17,1,1,1,1,2,151150
66,1,25,1,2,1,1,4,151199
118,1,42,1,2,1,1,1,151121
45,1,49,1,1,1,1,6,151131
127,1,37,1,1,1,1,1,151141
85,1,25,1,1,1,1,1,15113X
254,1,39,1,1,1,1,1,15113X
60,6,6,1,1,4,3,1,15113X
271,1,53,1,2,1,1,4,151199
141,2,48,1,1,1,1,1,151199
10,1,37,1,1,1,1,4,151150
141,1,12,1,1,1,1,2,151121
69,1,47,1,1,3,5,1,151141
52,1,6,2,2,1,1,1,151131
113,1,25,1,1,1,1,6,151121
66,1,8,1,1,1,1,1,151131
94,6,15,1,1,1,1,4,151199
46,1,6,1,1,4,5,6,15113X
65,1,6,1,1,1,1,1,151131
57,1,13,1,2,1,1,1,15113X
82,1,4,1,1,1,1,1,15113X
70,2,37,1,1,1,1,1,151199
23,1,54,1,2,1,1,3,151150
67,1,51,1,1,1,1,5,151121
97,1,36,1,1,5,5,1,151150
76,1,41,1,1,1,1,1,151134
38,1,24,1,2,1,1,2,15113X
63,6,48,1,1,4,4,1,15113X
54,6,48,1,2,4,4,1,15113X
129,1,26,1,1,1,1,1,151131
96,9,36,1,1,1,1,1,151150
160,1,26,1,1,1,1,1,151131
48,1,25,1,1,1,1,1,151150
180,1,48,2,1,1,1,1,151199
50,1,12,1,1,1,1,2,151199
44,1,54,1,2,1,1,4,151199
138,9,15,1,1,1,1,1,151131
116,6,26,1,1,5,4,1,151121
129,1,6,1,1,5,5,1,15113X
46,6,24,1,1,1,1,1,15113X
194,1,34,1,1,1,1,1,151150
90,1,13,1,1,1,1,1,151131
75,1,6,1,1,1,1,4,15113X
16,1,53,1,1,1,1,1,15113X
22,1,25,1,2,1,1,7,151121
38,1,17,1,1,1,1,1,151199
78,1,29,1,2,4,7,1,151121
141,1,34,1,1,1,1,1,151131
114,1,27,1,1,1,1,1,15113X
124,1,13,1,1,1,1,1,151199
125,1,53,1,2,1,1,4,151134
34,1,12,1,1,1,1,4,151199
90,1,18,1,1,1,1,2,151134
59,1,8,1,2,1,1,3,151142
356,1,55,1,1,1,1,1,151199
151,1,55,1,1,1,1,1,172070
45,1,13,1,1,1,1,1,151121
159,1,31,1,2,1,1,2,151150
95,1,48,1,2,1,1,1,151131
34,1,29,1,1,5,5,1,151199
19,1,19,1,1,1,1,1,151199
52,1,12,1,1,1,1,1,151143
184,1,12,16,1,4,3,1,15113X
75,1,9,1,2,1,1,1,15113X
130,1,48,1,2,1,1,5,151142
105,1,34,1,1,1,1,1,172070
35,1,55,1,1,1,1,1,15113X
48,1,11,19,2,4,3,1,15113X
324,1,4,1,1,1,1,1,151150
70,1,37,1,1,1,1,2,151142
97,1,48,1,2,1,1,1,151199
74,6,15,1,1,4,4,5,172070
110,1,48,1,1,1,1,3,151150
76,1,4,19,1,5,5,1,151142
67,1,6,1,1,1,1,1,151131
44,1,45,1,1,1,1,7,151199
13,1,26,1,1,1,1,1,172070
30,1,20,1,1,1,1,1,151199
85,1,36,1,2,4,5,1,151142
110,1,6,1,1,1,1,1,15113X
82,6,11,1,2,4,4,7,15113X
65,6,24,1,2,1,1,1,15113X
111,1,36,1,1,1,1,1,151142
67,6,6,1,1,5,4,1,15113X
36,1,13,1,2,1,1,2,151199
101,1,26,1,2,1,1,1,15113X
32,3,49,1,1,1,1,1,151150
66,1,51,1,1,1,1,2,151143
17,6,48,1,1,4,4,1,15113X
160,6,20,1,1,4,4,1,151121
64,1,47,1,1,1,1,1,15113X
196,1,48,2,1,5,3,1,151143
93,1,13,1,1,1,1,1,151121
