PWGTP,HISP,POWSP,RAC1P,WAOB,CIT,SEX,SOCP
74,1,32,1,1,1,1,151131
128,1,1,1,1,1,2,15113X
88,1,53,1,1,1,1,151150
159,1,53,6,4,5,1,151199
94,1,29,1,5,3,2,151121
79,1,29,1,1,1,1,151121
44,1,26,1,1,1,1,151142
94,1,9,1,1,1,1,151150
76,1,36,6,4,5,1,172061
22,1,42,1,1,1,1,113021
97,1,48,1,1,1,2,151121
80,1,51,1,1,1,1,172061
272,1,6,6,4,5,2,15113X
89,1,6,1,1,1,2,151131
91,1,51,1,1,1,1,15113X
204,1,6,1,1,1,2,151121
82,1,1,1,1,1,1,151121
54,1,48,1,1,1,2,151142
76,1,12,1,1,1,1,151131
78,1,36,1,1,1,2,15113X
66,1,34,1,1,1,1,172061
120,1,41,1,1,1,2,151134
67,1,37,1,1,1,2,151131
72,1,37,2,1,1,2,15113X
92,1,51,1,1,1,2,15113X
88,1,24,1,1,1,2,15113X
109,1,29,1,1,1,1,15113X
109,1,48,6,4,4,1,151131
89,1,36,1,1,1,2,151121
54,1,48,1,1,1,1,15113X
59,1,9,6,1,1,1,151199
340,1,48,1,1,1,1,151141
89,1,42,1,1,1,1,151121
70,1,24,6,4,4,1,15113X
35,1,55,1,1,1,2,151150
83,1,36,1,1,1,2,151199
49,1,37,1,1,1,2,151131
83,1,25,1,1,1,2,15113X
111,1,41,1,1,1,2,151150
207,1,41,6,4,5,1,15113X
483,1,41,6,4,5,1,15113X
114,1,49,1,1,1,1,15113X
89,1,36,1,5,5,1,151131
96,1,51,1,1,1,1,113021
87,1,6,2,1,1,1,151131
113,1,36,6,4,5,1,172061
66,1,49,1,5,4,1,15113X
126,1,48,1,1,1,1,151131
91,1,51,3,1,1,1,151199
92,1,48,2,1,1,1,151150
72,1,4,1,1,1,1,151150
97,1,6,6,4,4,1,151199
15,1,16,1,1,1,1,113021
88,1,51,1,1,1,1,15113X
94,1,36,1,1,1,2,15113X
74,1,37,1,3,5,2,151150
80,1,51,6,4,5,1,15113X
72,1,36,1,1,1,1,151199
78,1,6,1,5,4,1,113021
103,1,6,1,5,4,1,15113X
109,1,17,1,1,1,1,113021
77,1,12,6,4,5,1,15113X
92,1,12,6,4,5,2,15113X
76,1,36,6,4,4,1,15113X
67,1,29,1,1,1,1,151131
17,1,37,1,1,1,1,15113X
90,1,45,1,5,3,1,151121
308,1,36,1,1,1,2,151121
20,1,36,1,1,1,1,151142
78,1,36,1,1,1,1,151150
83,1,11,2,1,1,1,151150
104,1,31,1,1,1,2,151131
89,1,6,1,1,1,1,151150
91,1,13,6,4,5,1,15113X
82,1,12,6,4,5,1,15113X
79,1,12,6,4,5,2,15113X
57,1,54,9,1,1,1,151150
105,1,17,1,1,1,1,151131
77,1,48,1,1,1,2,151121
178,1,53,1,1,1,1,113021
94,21,34,1,1,1,1,151121
26,1,16,1,5,5,2,151150
25,1,16,1,5,5,1,15113X
117,1,6,1,1,1,1,151121
116,1,26,2,1,1,2,151121
88,1,6,1,1,1,1,151199
108,1,28,1,1,1,2,151141
233,1,18,1,1,1,2,113021
66,1,17,1,1,1,2,15113X
283,1,6,1,1,1,1,15113X
21,1,26,1,1,1,1,151141
117,1,31,1,1,1,1,15113X
16,2,48,9,1,1,1,151141
116,1,42,2,1,1,1,151121
117,1,6,1,1,1,1,151150
103,1,26,1,1,1,1,151150
111,1,6,8,4,4,1,151141
99,3,17,1,1,1,2,151150
94,1,42,1,1,1,1,151131
87,1,25,1,7,5,2,15113X
87,1,25,1,1,1,1,113021
96,1,41,1,1,1,2,151142
59,3,12,1,2,2,1,15113X
59,1,48,1,1,1,1,151150
103,1,39,1,1,1,1,113021
67,1,21,1,1,1,1,151150
61,1,6,1,1,1,1,113021
81,2,48,1,1,1,2,15113X
73,1,37,1,1,1,2,113021
144,1,55,1,1,1,1,151142
60,1,12,1,1,1,1,15113X
104,1,25,1,1,1,1,113021
63,1,13,6,4,5,1,151142
62,1,12,1,1,1,1,151150
59,1,18,1,1,1,1,151199
23,1,36,1,1,1,1,151143
66,1,6,1,1,1,1,151121
22,1,26,1,1,1,2,151142
101,1,37,1,1,1,1,151131
