PWGTP,HISP,WAOB,CIT,SEX,POWSP,RAC1P,SOCP
164,1,1,1,1,36,1,151143
249,1,1,1,1,54,1,113021
125,1,1,1,1,6,1,151131
214,1,4,5,1,6,9,151131
69,1,4,4,1,24,6,15113X
74,1,4,4,2,24,6,15113X
166,1,1,1,1,27,1,113021
58,1,1,1,1,36,1,151131
63,1,1,1,1,13,1,151199
33,1,1,1,1,39,1,113021
76,1,1,1,1,24,2,113021
62,1,1,1,1,51,1,113021
100,1,1,1,1,25,1,151199
84,1,1,1,2,6,1,151150
70,1,5,4,1,9,1,151142
179,1,1,1,1,18,1,15113X
177,2,1,1,1,51,1,151199
138,1,1,1,1,17,2,15113X
80,1,1,1,2,8,1,15113X
74,1,1,1,1,8,1,15113X
69,1,6,4,2,6,1,151121
97,1,1,1,1,6,1,151142
64,1,1,1,1,6,1,15113X
490,1,1,1,2,19,1,113021
130,1,1,1,1,9,1,113021
232,1,1,1,2,37,2,151199
75,1,4,5,1,17,6,15113X
107,1,1,1,1,36,1,151131
57,1,1,1,1,42,1,151150
86,1,1,1,2,39,1,15113X
82,1,1,1,1,42,1,151131
134,1,1,1,1,20,1,15113X
227,1,1,1,1,4,1,151131
27,1,1,1,1,13,1,151121
26,1,1,1,2,37,2,113021
233,1,4,5,1,6,6,15113X
59,1,1,1,1,6,6,15113X
81,1,1,1,1,36,1,15113X
33,1,3,4,2,6,1,151199
147,1,1,1,1,11,1,113021
128,1,1,1,2,6,6,15113X
81,1,4,4,1,6,6,15113X
43,1,1,1,1,36,1,15113X
142,1,4,3,2,31,6,151121
207,1,1,1,1,17,1,15113X
88,1,1,1,1,17,1,113021
111,1,1,1,1,29,1,113021
23,1,4,4,2,24,6,151131
67,1,1,1,1,21,1,151131
49,2,1,1,2,6,1,113021
177,1,1,1,1,12,1,151199
62,1,1,1,1,48,1,151199
35,1,1,1,1,19,1,151142
68,1,1,1,1,48,1,151122
152,1,1,1,1,10,1,15113X
46,1,1,1,1,48,1,113021
78,4,2,2,1,12,1,151121
82,1,1,1,1,51,1,151150
82,1,1,1,2,15,6,15113X
123,1,1,1,2,17,2,151121
128,1,1,1,2,6,6,151134
114,1,1,1,2,6,1,113021
123,1,1,1,2,39,1,151150
66,1,1,1,1,40,1,151121
86,1,1,1,2,42,1,151150
515,1,1,1,1,33,1,151143
134,1,1,1,2,44,1,151121
168,1,1,1,1,44,1,151131
539,1,1,1,1,6,2,15113X
93,1,4,5,1,32,6,151131
199,1,1,1,1,6,1,15113X
10,1,1,1,1,20,1,15113X
119,1,1,1,1,6,1,151121
115,1,1,1,2,6,1,151121
40,1,1,1,1,39,1,113021
82,1,1,1,1,27,1,151134
49,1,1,1,1,1,2,151199
44,21,1,1,1,4,1,15113X
24,1,1,1,1,27,1,151199
71,1,1,1,1,45,2,151131
84,1,1,1,2,48,1,151199
92,1,1,1,2,4,1,113021
89,1,1,1,1,36,6,151199
56,1,1,1,1,48,1,151142
70,1,1,1,1,13,1,151143
81,1,3,3,2,4,1,172061
219,1,1,1,1,48,6,151141
75,1,1,1,1,31,1,15113X
140,1,1,1,1,17,1,15113X
51,1,1,1,1,36,1,151142
71,1,1,1,1,17,1,15113X
71,1,1,1,1,13,1,113021
75,1,1,1,1,49,1,151150
206,1,1,1,1,41,1,151131
46,2,3,5,1,48,1,151121
124,1,1,1,1,25,1,151111
87,1,1,1,1,37,1,151141
187,1,1,1,1,31,1,151199
107,1,1,1,1,5,1,151199
177,1,4,5,1,13,6,151131
108,1,4,5,1,6,6,15113X
54,1,1,1,1,1,9,15113X
102,1,1,1,1,39,1,151134
176,1,1,1,2,12,1,151199
164,1,4,5,1,48,6,113021
190,1,1,1,1,45,2,151150
73,1,1,1,1,25,1,15113X
363,1,1,1,1,12,1,151150
62,1,1,1,1,6,1,15113X
22,1,1,1,1,17,1,113021
71,1,4,5,1,6,6,151150
88,1,4,5,1,6,6,15113X
74,1,1,1,2,48,1,151131
85,1,1,1,1,26,1,151142
39,1,1,1,1,17,1,15113X
165,1,1,1,1,42,1,151141
50,1,1,1,2,6,6,151121
63,1,1,1,2,25,1,151121
42,1,1,1,1,6,1,151134
79,1,5,5,2,41,1,151199
20,1,1,1,1,27,1,151142
139,1,1,1,1,16,1,151121
94,1,1,1,2,39,1,151131
90,1,1,1,2,8,1,151150
58,1,1,1,1,12,1,151121
303,1,1,1,1,8,1,15113X
74,1,1,1,2,18,1,151121
88,1,6,4,1,34,1,15113X
68,1,1,1,1,29,1,151150
73,1,6,4,1,17,1,15113X
126,1,1,1,1,25,1,151150
100,1,4,5,1,13,6,151131
149,1,4,5,2,13,6,15113X
106,1,4,5,2,33,6,172061
65,1,1,1,1,11,1,151142
97,1,1,1,2,12,1,151122
75,1,1,1,1,17,1,151150
123,1,1,1,1,17,1,151131
115,1,1,1,2,18,1,151150
139,1,1,1,2,17,1,151199
19,1,1,1,1,29,1,113021
58,1,1,1,1,48,1,15113X
204,24,1,1,1,12,1,151131
84,1,1,1,1,36,1,151150
48,1,4,4,1,34,6,151142
80,1,4,4,2,37,6,151150
284,1,4,4,2,48,9,15113X
277,1,4,4,1,48,6,15113X
64,2,3,4,1,17,1,15113X
49,1,1,1,2,1,1,151121
320,2,1,1,2,6,8,151134
159,1,1,1,1,48,9,151150
77,1,1,1,1,8,1,113021
58,1,1,1,1,48,8,113021
76,3,1,1,2,34,1,151141
63,1,1,1,1,36,6,151199
74,1,1,1,2,19,1,151142
93,1,1,1,1,37,1,151131
221,2,1,1,2,37,1,15113X
79,1,4,5,1,51,6,15113X
112,1,4,5,1,51,6,151141
235,1,7,5,2,44,1,151121
31,1,1,1,1,39,1,151121
205,1,4,5,2,34,6,151199
211,1,4,5,1,34,6,151199
99,1,1,1,1,6,1,151131
142,1,1,1,1,25,1,151150
27,2,1,1,2,6,1,151121
98,1,1,1,2,4,1,151134
544,1,1,1,2,6,6,15113X
95,1,1,1,1,51,1,151121
42,1,4,4,1,6,6,151121
87,1,4,5,1,27,6,151150
75,1,1,1,1,17,1,15113X
121,2,3,5,1,48,1,15113X
130,7,1,1,2,6,1,151134
184,1,1,1,1,36,1,151150
167,1,1,1,1,1,2,151121
133,1,1,1,1,6,1,15113X
46,19,3,4,2,51,1,151134
117,1,1,1,1,48,6,15113X
144,1,1,1,2,48,1,113021
95,1,4,4,1,17,6,151150
87,1,1,1,1,4,1,151121
33,1,1,1,2,39,1,151121
112,1,4,4,1,17,6,172061
