"","PWGTP","SEX","RAC1P","POWSP","HISP","SOCP"
"1","65","1","1","12","1","151142"
"2","22","1","1","33","1","151143"
"3","58","1","6","17","1","151150"
"4","120","1","1","46","1","151131"
"5","67","1","1","6","1","151131"
"6","119","1","1","53","1","15113X"
"7","51","1","1","42","1","151143"
"8","261","1","1","55","1","151150"
"9","85","1","1","17","1","172061"
"10","64","1","1","16","1","15113X"
"11","122","1","1","51","1","151143"
"12","127","2","1","12","1","151199"
"13","33","1","6","51","1","15113X"
"14","36","2","1","31","1","151131"
"15","166","1","1","49","1","172070"
"16","93","1","1","4","1","151199"
"17","100","2","1","36","1","151121"
"18","99","1","1","18","1","151131"
"19","82","1","1","4","1","151134"
"20","138","1","6","6","1","151121"
"21","620","2","1","38","1","151121"
"22","155","1","1","42","1","151199"
"23","167","1","1","21","4","15113X"
"24","121","1","1","32","1","151141"
"25","109","1","1","6","1","172070"
"26","130","2","3","40","1","151199"
"27","51","1","2","37","1","151150"
"28","44","1","1","21","1","15113X"
"29","86","1","6","6","1","15113X"
"30","92","1","1","36","1","151142"
"31","57","1","1","42","1","15113X"
"32","110","1","1","53","1","15113X"
"33","171","1","1","42","1","151199"
"34","137","1","6","17","1","151121"
"35","62","1","1","36","1","151131"
"36","147","2","1","36","1","151199"
"37","119","1","1","31","1","151121"
"38","62","1","1","37","1","151143"
"39","84","1","1","24","1","151142"
"40","71","1","6","17","1","15113X"
"41","308","1","1","12","1","151199"
"42","114","1","1","36","1","15113X"
"43","113","1","1","36","1","15113X"
"44","106","1","1","25","1","151199"
"45","153","1","1","2","1","15113X"
"46","53","2","1","37","1","15113X"
"47","52","1","9","15","1","151142"
"48","115","1","1","40","1","151150"
"49","62","2","1","13","3","151121"
"50","29","1","1","24","1","15113X"
"51","68","1","1","13","1","151121"
"52","102","2","1","53","1","151199"
"53","127","1","6","6","1","15113X"
"54","139","1","1","51","1","151199"
"55","95","1","1","24","1","151131"
"56","127","1","1","29","1","15113X"
"57","164","1","6","47","1","151121"
"58","126","2","6","34","1","15113X"
"59","66","1","1","6","1","151121"
"60","59","2","1","26","1","151141"
"61","70","1","1","37","1","15113X"
"62","78","1","1","26","1","151143"
"63","118","2","2","11","1","151141"
"64","104","1","1","51","1","151199"
"65","111","1","1","51","1","151131"
"66","36","1","1","24","1","151143"
"67","64","1","1","8","1","15113X"
"68","48","2","1","33","1","151150"
"69","74","1","1","48","1","172070"
"70","87","2","1","20","1","15113X"
"71","64","1","1","6","1","151150"
"72","126","1","1","5","1","151199"
"73","131","1","1","36","1","151150"
"74","57","2","1","5","1","151199"
"75","44","1","1","13","1","151150"
"76","61","1","1","49","1","151134"
"77","407","1","6","5","1","15113X"
"78","75","1","6","53","1","172070"
"79","331","2","1","27","1","15113X"
"80","24","1","1","39","1","151142"
"81","86","1","1","42","1","151121"
"82","138","1","1","55","1","151121"
"83","23","1","1","41","1","15113X"
"84","114","2","6","6","1","15113X"
"85","116","1","6","6","1","15113X"
"86","48","1","2","4","1","151142"
"87","68","1","1","36","1","151150"
"88","66","1","5","51","8","151143"
"89","95","1","1","6","1","151199"
"90","98","1","6","6","1","15113X"
"91","23","1","1","50","1","151131"
"92","274","1","1","27","1","151121"
"93","43","1","1","36","1","15113X"
"94","63","1","1","47","1","151199"
"95","18","1","1","21","1","151150"
"96","88","1","1","12","1","15113X"
"97","93","1","1","42","1","151142"
"98","148","2","1","42","3","151121"
"99","115","2","1","45","1","151150"
"100","65","1","1","6","1","15113X"
"101","112","2","1","32","1","151121"
"102","119","2","1","6","2","151121"
"103","79","1","1","17","1","151150"
"104","66","2","1","25","1","151199"
"105","118","2","1","42","1","151121"
"106","45","1","1","49","1","151131"
"107","127","1","1","37","1","151141"
"108","85","1","1","25","1","15113X"
"109","254","1","1","39","1","15113X"
"110","60","1","6","6","1","15113X"
"111","271","2","1","53","1","151199"
"112","141","1","2","48","1","151199"
"113","10","1","1","37","1","151150"
"114","141","1","1","12","1","151121"
"115","69","1","1","47","1","151141"
"116","52","2","1","6","2","151131"
"117","113","1","1","25","1","151121"
"118","66","1","1","8","1","151131"
"119","94","1","6","15","1","151199"
"120","46","1","1","6","1","15113X"
"121","65","1","1","6","1","151131"
"122","57","2","1","13","1","15113X"
"123","82","1","1","4","1","15113X"
"124","70","1","2","37","1","151199"
"125","23","2","1","54","1","151150"
"126","67","1","1","51","1","151121"
"127","97","1","1","36","1","151150"
"128","76","1","1","41","1","151134"
"129","38","2","1","24","1","15113X"
"130","63","1","6","48","1","15113X"
"131","54","2","6","48","1","15113X"
"132","129","1","1","26","1","151131"
"133","96","1","9","36","1","151150"
"134","160","1","1","26","1","151131"
"135","48","1","1","25","1","151150"
"136","180","1","1","48","2","151199"
"137","50","1","1","12","1","151199"
"138","44","2","1","54","1","151199"
"139","138","1","9","15","1","151131"
"140","116","1","6","26","1","151121"
"141","129","1","1","6","1","15113X"
"142","46","1","6","24","1","15113X"
"143","194","1","1","34","1","151150"
"144","90","1","1","13","1","151131"
"145","75","1","1","6","1","15113X"
"146","16","1","1","53","1","15113X"
"147","22","2","1","25","1","151121"
"148","38","1","1","17","1","151199"
"149","78","2","1","29","1","151121"
"150","141","1","1","34","1","151131"
"151","114","1","1","27","1","15113X"
"152","124","1","1","13","1","151199"
"153","125","2","1","53","1","151134"
"154","34","1","1","12","1","151199"
"155","90","1","1","18","1","151134"
"156","59","2","1","8","1","151142"
"157","356","1","1","55","1","151199"
"158","151","1","1","55","1","172070"
"159","45","1","1","13","1","151121"
"160","159","2","1","31","1","151150"
"161","95","2","1","48","1","151131"
"162","34","1","1","29","1","151199"
"163","19","1","1","19","1","151199"
"164","52","1","1","12","1","151143"
"165","184","1","1","12","16","15113X"
"166","75","2","1","9","1","15113X"
"167","130","2","1","48","1","151142"
"168","105","1","1","34","1","172070"
"169","35","1","1","55","1","15113X"
"170","48","2","1","11","19","15113X"
"171","324","1","1","4","1","151150"
"172","70","1","1","37","1","151142"
"173","97","2","1","48","1","151199"
"174","74","1","6","15","1","172070"
"175","110","1","1","48","1","151150"
"176","76","1","1","4","19","151142"
"177","67","1","1","6","1","151131"
"178","44","1","1","45","1","151199"
"179","13","1","1","26","1","172070"
"180","30","1","1","20","1","151199"
"181","85","2","1","36","1","151142"
"182","110","1","1","6","1","15113X"
"183","82","2","6","11","1","15113X"
"184","65","2","6","24","1","15113X"
"185","111","1","1","36","1","151142"
"186","67","1","6","6","1","15113X"
"187","36","2","1","13","1","151199"
"188","101","2","1","26","1","15113X"
"189","32","1","3","49","1","151150"
"190","66","1","1","51","1","151143"
"191","17","1","6","48","1","15113X"
"192","160","1","6","20","1","151121"
