"","personalWeight","sex","race","state","hisp","tech"
"1",65,"Male","White","Florida","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"2",22,"Male","White","New Hampshire","1","CMM-COMPUTER NETWORK ARCHITECTS"
"3",58,"Male","Asian","Illinois","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"4",120,"Male","White","South Dakota","1","CMM-COMPUTER PROGRAMMERS"
"5",67,"Male","White","California","1","CMM-COMPUTER PROGRAMMERS"
"6",119,"Male","White","Washington","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"7",51,"Male","White","Pennsylvania","1","CMM-COMPUTER NETWORK ARCHITECTS"
"8",261,"Male","White","Wisconsin","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"9",85,"Male","White","Illinois","1","ENG-COMPUTER HARDWARE ENGINEERS"
"10",64,"Male","White","Idaho","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"11",122,"Male","White","Virginia","1","CMM-COMPUTER NETWORK ARCHITECTS"
"12",127,"Female","White","Florida","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"13",33,"Male","Asian","Virginia","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"14",36,"Female","White","Nebraska","1","CMM-COMPUTER PROGRAMMERS"
"15",166,"Male","White","Utah","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"16",93,"Male","White","Arizona","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"17",100,"Female","White","New York","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"18",99,"Male","White","Indiana","1","CMM-COMPUTER PROGRAMMERS"
"19",82,"Male","White","Arizona","1","CMM-WEB DEVELOPERS"
"20",138,"Male","Asian","California","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"21",620,"Female","White","North Dakota","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"22",155,"Male","White","Pennsylvania","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"23",167,"Male","Hispanic","Kentucky","4","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"24",121,"Male","White","Nevada","1","CMM-DATABASE ADMINISTRATORS"
"25",109,"Male","White","California","1","ENG-ELECTRICAL AND ELECTRONICS ENGINEERS"
"26",130,"Female","American Indian alone","Oklahoma","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"27",51,"Male","Black","North Carolina","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"28",44,"Male","White","Kentucky","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"29",86,"Male","Asian","California","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"30",92,"Male","White","New York","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"31",57,"Male","White","Pennsylvania","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"32",110,"Male","White","Washington","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"33",171,"Male","White","Pennsylvania","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"34",137,"Male","Asian","Illinois","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"35",62,"Male","White","New York","1","CMM-COMPUTER PROGRAMMERS"
"36",147,"Female","White","New York","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"37",119,"Male","White","Nebraska","1","CMM-COMPUTER SYSTEMS ANALYSTS"
"38",62,"Male","White","North Carolina","1","CMM-COMPUTER NETWORK ARCHITECTS"
"39",84,"Male","White","Maryland","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"40",71,"Male","Asian","Illinois","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"41",308,"Male","White","Florida","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"42",114,"Male","White","New York","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"43",113,"Male","White","New York","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"44",106,"Male","White","Massachusetts","1","CMM-COMPUTER OCCUPATIONS, ALL OTHER"
"45",153,"Male","White","Alaska","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"46",53,"Female","White","North Carolina","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"47",52,"Male","Two or More Races","Hawaii","1","CMM-NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
"48",115,"Male","White","Oklahoma","1","CMM-COMPUTER SUPPORT SPECIALISTS"
"49",62,"Female","Hispanic","Georgia","3","CMM-COMPUTER SYSTEMS ANALYSTS"
"50",29,"Male","White","Maryland","1","CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE *"
"51",68,"Male","White","Georgia","1","CMM-COMPUTER SYSTEMS ANALYSTS"
